shipment_id,order_id,carrier,ship_timestamp,promised_delivery,actual_delivery,status
SHP000055,O002452,FedEx,2026-08-23T23:05:20.880590,2026-08-28T23:05:20.880590,2026-08-27T23:05:20.880590,IN_TRANSIT
SHP000056,O004442,Delhivery,2026-08-18T20:21:20.880590,2026-08-19T20:21:20.880590,2026-08-21T20:21:20.880590,DELIVERED
SHP000057,O001286,UPS,2026-08-14T22:45:20.880590,2026-08-16T22:45:20.880590,2026-08-16T22:45:20.880590,DELIVERED
SHP000058,O000054,FedEx,2026-08-14T22:43:20.880590,2026-08-16T22:43:20.880590,2026-08-16T22:43:20.880590,DELIVERED
SHP000059,O001262,UPS,2026-08-08T21:54:20.880590,2026-08-14T21:54:20.880590,2026-08-14T21:54:20.880590,IN_TRANSIT
SHP000060,O000930,Delhivery,2026-08-09T18:16:20.880590,2026-08-15T18:16:20.880590,2026-08-15T18:16:20.880590,IN_TRANSIT
SHP000061,O002692,DHL,2026-08-19T23:16:20.880590,2026-08-21T23:16:20.880590,2026-08-22T23:16:20.880590,DELAYED
SHP000062,O004542,Delhivery,2026-08-30T00:14:20.880590,2026-09-02T00:14:20.880590,2026-09-02T00:14:20.880590,DELAYED
SHP000063,O002012,FedEx,2026-08-15T20:55:20.880590,2026-08-17T20:55:20.880590,2026-08-17T20:55:20.880590,DELIVERED
SHP000064,O001338,Delhivery,2026-08-24T23:53:20.880590,2026-08-28T23:53:20.880590,2026-08-28T23:53:20.880590,DELIVERED
SHP000065,O000219,UPS,2026-08-31T12:24:20.880590,2026-09-05T12:24:20.880590,2026-09-07T12:24:20.880590,DELAYED
SHP000066,O001004,FedEx,2026-08-17T13:10:20.880590,2026-08-24T13:10:20.880590,2026-08-24T13:10:20.880590,IN_TRANSIT
SHP000067,O001325,Delhivery,2026-08-11T04:13:20.880590,2026-08-12T04:13:20.880590,2026-08-13T04:13:20.880590,IN_TRANSIT
SHP000068,O003218,UPS,2026-09-03T07:04:20.880590,2026-09-10T07:04:20.880590,2026-09-12T07:04:20.880590,DELAYED
SHP000069,O001097,DHL,2026-09-04T00:55:20.880590,2026-09-05T00:55:20.880590,2026-09-05T00:55:20.880590,DELIVERED
SHP000070,O003289,FedEx,2026-08-29T15:37:20.880590,2026-08-30T15:37:20.880590,2026-08-31T15:37:20.880590,IN_TRANSIT
SHP000071,O004817,UPS,2026-08-21T02:54:20.880590,2026-08-24T02:54:20.880590,2026-08-24T02:54:20.880590,DELIVERED
SHP000072,O003146,FedEx,2026-08-07T17:40:20.880590,2026-08-12T17:40:20.880590,2026-08-12T17:40:20.880590,DELAYED
SHP000073,O004640,FedEx,2026-08-11T06:53:20.880590,2026-08-15T06:53:20.880590,2026-08-15T06:53:20.880590,DELAYED
SHP000074,O004801,FedEx,2026-08-11T12:13:20.880590,2026-08-13T12:13:20.880590,2026-08-14T12:13:20.880590,IN_TRANSIT
SHP000075,O001877,DHL,2026-08-10T12:26:20.880590,2026-08-14T12:26:20.880590,2026-08-14T12:26:20.880590,DELIVERED
SHP000076,O001050,BlueDart,2026-08-25T07:10:20.880590,2026-09-01T07:10:20.880590,2026-09-01T07:10:20.880590,IN_TRANSIT
SHP000077,O001239,Delhivery,2026-08-21T13:18:20.880590,2026-08-27T13:18:20.880590,2026-08-28T13:18:20.880590,IN_TRANSIT
SHP000078,O000843,FedEx,2026-08-24T11:51:20.880590,2026-08-30T11:51:20.880590,2026-08-29T11:51:20.880590,DELAYED
SHP000079,O000987,BlueDart,2026-08-26T10:25:20.880590,2026-09-02T10:25:20.880590,2026-09-02T10:25:20.880590,DELIVERED
SHP000080,O004679,Delhivery,2026-08-07T06:20:20.880590,2026-08-09T06:20:20.880590,2026-08-11T06:20:20.880590,IN_TRANSIT
SHP000081,O001126,UPS,2026-08-21T09:55:20.880590,2026-08-22T09:55:20.880590,2026-08-22T09:55:20.880590,DELIVERED
SHP000082,O000515,UPS,2026-08-11T21:04:20.880590,2026-08-17T21:04:20.880590,2026-08-17T21:04:20.880590,IN_TRANSIT
SHP000083,O000082,UPS,2026-08-23T04:45:20.880590,2026-08-24T04:45:20.880590,2026-08-24T04:45:20.880590,DELIVERED
SHP000084,O000823,Delhivery,2026-08-13T09:52:20.880590,2026-08-19T09:52:20.880590,2026-08-18T09:52:20.880590,IN_TRANSIT
SHP000085,O000405,Delhivery,2026-08-17T21:07:20.880590,2026-08-24T21:07:20.880590,2026-08-25T21:07:20.880590,IN_TRANSIT
SHP000086,O003777,FedEx,2026-09-02T23:15:20.880590,2026-09-05T23:15:20.880590,2026-09-06T23:15:20.880590,DELAYED
SHP000087,O003067,UPS,2026-08-12T19:58:20.880590,2026-08-19T19:58:20.880590,2026-08-19T19:58:20.880590,DELIVERED
SHP000088,O004111,Delhivery,2026-08-11T07:27:20.880590,2026-08-13T07:27:20.880590,2026-08-13T07:27:20.880590,DELAYED
SHP000089,O004422,DHL,2026-08-21T16:24:20.880590,2026-08-26T16:24:20.880590,2026-08-26T16:24:20.880590,DELAYED
SHP000090,O002479,Delhivery,2026-08-07T09:31:20.880590,2026-08-11T09:31:20.880590,2026-08-12T09:31:20.880590,DELIVERED
SHP000091,O004037,BlueDart,2026-08-26T16:38:20.880590,2026-09-02T16:38:20.880590,2026-09-04T16:38:20.880590,DELIVERED
SHP000092,O001921,FedEx,2026-08-16T13:40:20.880590,2026-08-21T13:40:20.880590,2026-08-23T13:40:20.880590,DELAYED
SHP000093,O002903,DHL,2026-08-26T15:05:20.880590,2026-08-29T15:05:20.880590,2026-08-31T15:05:20.880590,DELIVERED
SHP000094,O002788,BlueDart,2026-08-14T14:39:20.880590,2026-08-20T14:39:20.880590,2026-08-22T14:39:20.880590,DELAYED
SHP000095,O003550,UPS,2026-08-20T05:59:20.880590,2026-08-21T05:59:20.880590,2026-08-23T05:59:20.880590,IN_TRANSIT
SHP000096,O004125,UPS,2026-09-05T00:41:20.880590,2026-09-11T00:41:20.880590,2026-09-13T00:41:20.880590,DELAYED
SHP000097,O004436,FedEx,2026-08-15T19:14:20.880590,2026-08-22T19:14:20.880590,2026-08-22T19:14:20.880590,DELAYED
SHP000098,O003915,FedEx,2026-08-26T23:00:20.880590,2026-08-30T23:00:20.880590,2026-08-30T23:00:20.880590,DELIVERED
SHP000099,O002181,BlueDart,2026-08-30T04:11:20.880590,2026-09-03T04:11:20.880590,2026-09-03T04:11:20.880590,DELAYED
SHP000100,O001379,UPS,2026-09-02T15:50:20.880590,2026-09-05T15:50:20.880590,2026-09-05T15:50:20.880590,DELAYED
SHP000101,O003058,DHL,2026-08-21T13:43:20.880590,2026-08-28T13:43:20.880590,2026-08-30T13:43:20.880590,IN_TRANSIT
SHP000102,O004551,FedEx,2026-08-14T17:45:20.880590,2026-08-16T17:45:20.880590,2026-08-16T17:45:20.880590,IN_TRANSIT
SHP000103,O000871,Delhivery,2026-08-07T10:50:20.880590,2026-08-09T10:50:20.880590,2026-08-09T10:50:20.880590,DELAYED
SHP000104,O003324,FedEx,2026-09-04T23:41:20.880590,2026-09-11T23:41:20.880590,2026-09-11T23:41:20.880590,IN_TRANSIT
SHP000105,O004526,BlueDart,2026-08-14T21:23:20.880590,2026-08-16T21:23:20.880590,2026-08-18T21:23:20.880590,IN_TRANSIT
SHP000106,O000105,DHL,2026-08-15T06:19:20.880590,2026-08-22T06:19:20.880590,2026-08-22T06:19:20.880590,DELIVERED
SHP000107,O002241,DHL,2026-08-18T05:46:20.880590,2026-08-21T05:46:20.880590,2026-08-23T05:46:20.880590,DELAYED
SHP000108,O004867,DHL,2026-08-15T00:34:20.880590,2026-08-22T00:34:20.880590,2026-08-21T00:34:20.880590,DELAYED
SHP000109,O003421,BlueDart,2026-09-05T20:59:20.880590,2026-09-07T20:59:20.880590,2026-09-08T20:59:20.880590,DELIVERED
SHP000110,O003358,BlueDart,2026-08-13T04:11:20.880590,2026-08-14T04:11:20.880590,2026-08-14T04:11:20.880590,IN_TRANSIT
SHP000111,O004758,UPS,2026-08-09T10:53:20.880590,2026-08-13T10:53:20.880590,2026-08-13T10:53:20.880590,DELIVERED
SHP000112,O003910,UPS,2026-08-10T02:19:20.880590,2026-08-16T02:19:20.880590,2026-08-15T02:19:20.880590,DELIVERED
SHP000113,O000614,DHL,2026-08-17T14:23:20.880590,2026-08-23T14:23:20.880590,2026-08-22T14:23:20.880590,DELAYED
SHP000114,O002013,UPS,2026-08-17T01:17:20.880590,2026-08-24T01:17:20.880590,2026-08-24T01:17:20.880590,DELAYED
SHP000115,O001456,FedEx,2026-09-04T05:44:20.880590,2026-09-06T05:44:20.880590,2026-09-06T05:44:20.880590,IN_TRANSIT
SHP000116,O000712,Delhivery,2026-08-11T07:42:20.880590,2026-08-13T07:42:20.880590,2026-08-14T07:42:20.880590,DELIVERED
SHP000117,O003440,DHL,2026-08-09T04:30:20.880590,2026-08-14T04:30:20.880590,2026-08-14T04:30:20.880590,IN_TRANSIT
SHP000118,O000306,UPS,2026-08-29T04:05:20.880590,2026-09-02T04:05:20.880590,2026-09-02T04:05:20.880590,IN_TRANSIT
SHP000119,O003425,DHL,2026-08-12T02:32:20.880590,2026-08-16T02:32:20.880590,2026-08-17T02:32:20.880590,DELIVERED
SHP000120,O002306,FedEx,2026-08-24T20:24:20.880590,2026-08-30T20:24:20.880590,2026-09-01T20:24:20.880590,DELAYED
SHP000121,O000085,DHL,2026-08-23T04:03:20.880590,2026-08-28T04:03:20.880590,2026-08-28T04:03:20.880590,DELIVERED
SHP000122,O001422,FedEx,2026-08-28T03:10:20.880590,2026-08-31T03:10:20.880590,2026-09-01T03:10:20.880590,DELIVERED
SHP000123,O003487,FedEx,2026-08-27T07:08:20.880590,2026-09-03T07:08:20.880590,2026-09-03T07:08:20.880590,DELAYED
SHP000124,O001685,FedEx,2026-08-12T03:00:20.880590,2026-08-19T03:00:20.880590,2026-08-20T03:00:20.880590,DELIVERED
SHP000125,O002122,UPS,2026-08-07T14:59:20.880590,2026-08-13T14:59:20.880590,2026-08-12T14:59:20.880590,IN_TRANSIT
SHP000126,O001125,FedEx,2026-08-20T16:44:20.880590,2026-08-26T16:44:20.880590,2026-08-25T16:44:20.880590,IN_TRANSIT
SHP000127,O002262,UPS,2026-08-22T22:34:20.880590,2026-08-23T22:34:20.880590,2026-08-23T22:34:20.880590,IN_TRANSIT
SHP000128,O003801,BlueDart,2026-08-15T04:34:20.880590,2026-08-21T04:34:20.880590,2026-08-22T04:34:20.880590,DELAYED
SHP000129,O003905,BlueDart,2026-08-23T12:49:20.880590,2026-08-30T12:49:20.880590,2026-08-29T12:49:20.880590,IN_TRANSIT
SHP000130,O002057,Delhivery,2026-08-16T13:04:20.880590,2026-08-19T13:04:20.880590,2026-08-19T13:04:20.880590,DELAYED
SHP000131,O002273,BlueDart,2026-08-09T02:34:20.880590,2026-08-16T02:34:20.880590,2026-08-15T02:34:20.880590,IN_TRANSIT
SHP000132,O002787,DHL,2026-08-21T23:27:20.880590,2026-08-26T23:27:20.880590,2026-08-28T23:27:20.880590,IN_TRANSIT
SHP000133,O000709,BlueDart,2026-08-07T23:00:20.880590,2026-08-12T23:00:20.880590,2026-08-14T23:00:20.880590,DELAYED
SHP000134,O001413,UPS,2026-08-15T15:37:20.880590,2026-08-21T15:37:20.880590,2026-08-21T15:37:20.880590,DELIVERED
SHP000135,O002352,Delhivery,2026-08-14T17:40:20.880590,2026-08-16T17:40:20.880590,2026-08-17T17:40:20.880590,IN_TRANSIT
SHP000136,O002190,DHL,2026-08-19T04:37:20.880590,2026-08-26T04:37:20.880590,2026-08-27T04:37:20.880590,DELIVERED
SHP000137,O002201,UPS,2026-08-17T00:38:20.880590,2026-08-21T00:38:20.880590,2026-08-21T00:38:20.880590,DELIVERED
SHP000138,O003185,Delhivery,2026-08-29T20:37:20.880590,2026-09-01T20:37:20.880590,2026-09-02T20:37:20.880590,DELAYED
SHP000139,O001356,UPS,2026-08-07T13:11:20.880590,2026-08-14T13:11:20.880590,2026-08-14T13:11:20.880590,DELAYED
SHP000140,O001847,BlueDart,2026-08-23T21:15:20.880590,2026-08-30T21:15:20.880590,2026-08-30T21:15:20.880590,IN_TRANSIT
SHP000141,O004652,DHL,2026-09-01T12:26:20.880590,2026-09-04T12:26:20.880590,2026-09-05T12:26:20.880590,DELIVERED
SHP000142,O004225,BlueDart,2026-08-16T01:31:20.880590,2026-08-22T01:31:20.880590,2026-08-22T01:31:20.880590,DELIVERED
SHP000143,O000100,DHL,2026-09-05T18:29:20.880590,2026-09-10T18:29:20.880590,2026-09-10T18:29:20.880590,DELIVERED
SHP000144,O002763,UPS,2026-08-29T20:29:20.880590,2026-09-02T20:29:20.880590,2026-09-02T20:29:20.880590,DELIVERED
SHP000145,O003202,UPS,2026-08-11T05:13:20.880590,2026-08-13T05:13:20.880590,2026-08-13T05:13:20.880590,DELAYED
SHP000146,O000132,DHL,2026-09-03T12:29:20.880590,2026-09-08T12:29:20.880590,2026-09-08T12:29:20.880590,IN_TRANSIT
SHP000147,O000637,UPS,2026-08-31T08:17:20.880590,2026-09-06T08:17:20.880590,2026-09-07T08:17:20.880590,DELIVERED
SHP000148,O004004,BlueDart,2026-08-20T22:15:20.880590,2026-08-26T22:15:20.880590,2026-08-25T22:15:20.880590,IN_TRANSIT
SHP000149,O003733,Delhivery,2026-08-17T04:02:20.880590,2026-08-22T04:02:20.880590,2026-08-22T04:02:20.880590,IN_TRANSIT
SHP000150,O003745,DHL,2026-08-16T17:16:20.880590,2026-08-20T17:16:20.880590,2026-08-21T17:16:20.880590,DELIVERED
SHP000151,O003698,UPS,2026-08-31T17:40:20.880590,2026-09-04T17:40:20.880590,2026-09-04T17:40:20.880590,IN_TRANSIT
SHP000152,O001077,BlueDart,2026-08-28T07:53:20.880590,2026-09-04T07:53:20.880590,2026-09-04T07:53:20.880590,IN_TRANSIT
SHP000153,O000551,UPS,2026-09-01T05:56:20.880590,2026-09-07T05:56:20.880590,2026-09-07T05:56:20.880590,DELAYED
SHP000154,O004256,UPS,2026-08-11T00:35:20.880590,2026-08-18T00:35:20.880590,2026-08-20T00:35:20.880590,DELAYED
SHP000155,O004680,DHL,2026-09-03T18:31:20.880590,2026-09-04T18:31:20.880590,2026-09-04T18:31:20.880590,IN_TRANSIT
SHP000156,O001368,Delhivery,2026-08-28T16:39:20.880590,2026-09-04T16:39:20.880590,2026-09-03T16:39:20.880590,DELIVERED
SHP000157,O002524,UPS,2026-08-30T14:08:20.880590,2026-08-31T14:08:20.880590,2026-09-01T14:08:20.880590,DELAYED
SHP000158,O003155,DHL,2026-09-01T15:22:20.880590,2026-09-04T15:22:20.880590,2026-09-04T15:22:20.880590,IN_TRANSIT
SHP000159,O003510,DHL,2026-08-25T19:19:20.880590,2026-08-28T19:19:20.880590,2026-08-27T19:19:20.880590,DELIVERED
SHP000160,O003639,UPS,2026-08-18T08:16:20.880590,2026-08-22T08:16:20.880590,2026-08-24T08:16:20.880590,DELAYED
SHP000161,O001731,DHL,2026-08-18T05:43:20.880590,2026-08-22T05:43:20.880590,2026-08-23T05:43:20.880590,DELAYED
SHP000162,O001729,DHL,2026-08-27T02:02:20.880590,2026-09-03T02:02:20.880590,2026-09-04T02:02:20.880590,IN_TRANSIT
SHP000163,O004490,FedEx,2026-08-12T12:45:20.880590,2026-08-14T12:45:20.880590,2026-08-14T12:45:20.880590,IN_TRANSIT
SHP000164,O003895,Delhivery,2026-08-25T17:35:20.880590,2026-08-31T17:35:20.880590,2026-08-31T17:35:20.880590,DELIVERED
SHP000165,O000133,Delhivery,2026-09-04T00:24:20.880590,2026-09-08T00:24:20.880590,2026-09-10T00:24:20.880590,DELAYED
SHP000166,O003530,UPS,2026-08-30T03:16:20.880590,2026-09-01T03:16:20.880590,2026-09-03T03:16:20.880590,IN_TRANSIT
SHP000167,O000383,BlueDart,2026-09-03T06:22:20.880590,2026-09-07T06:22:20.880590,2026-09-07T06:22:20.880590,DELAYED
SHP000168,O001675,UPS,2026-08-25T22:23:20.880590,2026-08-31T22:23:20.880590,2026-08-31T22:23:20.880590,DELAYED
SHP000169,O004127,BlueDart,2026-08-30T11:58:20.880590,2026-09-03T11:58:20.880590,2026-09-02T11:58:20.880590,DELAYED
SHP000170,O002644,DHL,2026-08-21T09:23:20.880590,2026-08-28T09:23:20.880590,2026-08-28T09:23:20.880590,DELAYED
SHP000171,O001139,DHL,2026-08-13T08:12:20.880590,2026-08-19T08:12:20.880590,2026-08-20T08:12:20.880590,DELIVERED
SHP000172,O004596,BlueDart,2026-08-18T23:59:20.880590,2026-08-25T23:59:20.880590,2026-08-24T23:59:20.880590,DELAYED
SHP000173,O003628,DHL,2026-08-25T07:55:20.880590,2026-08-29T07:55:20.880590,2026-08-30T07:55:20.880590,DELIVERED
SHP000174,O000502,DHL,2026-08-15T13:28:20.880590,2026-08-19T13:28:20.880590,2026-08-19T13:28:20.880590,DELAYED
SHP000175,O003888,FedEx,2026-08-07T17:36:20.880590,2026-08-14T17:36:20.880590,2026-08-16T17:36:20.880590,DELAYED
SHP000176,O004170,Delhivery,2026-08-15T03:05:20.880590,2026-08-16T03:05:20.880590,2026-08-18T03:05:20.880590,DELAYED
SHP000177,O004019,DHL,2026-08-14T07:53:20.880590,2026-08-19T07:53:20.880590,2026-08-19T07:53:20.880590,IN_TRANSIT
SHP000178,O001672,FedEx,2026-08-21T18:03:20.880590,2026-08-25T18:03:20.880590,2026-08-24T18:03:20.880590,IN_TRANSIT
SHP000179,O004374,BlueDart,2026-08-07T08:03:20.880590,2026-08-14T08:03:20.880590,2026-08-14T08:03:20.880590,DELAYED
SHP000180,O001406,BlueDart,2026-08-19T00:02:20.880590,2026-08-24T00:02:20.880590,2026-08-24T00:02:20.880590,DELIVERED
SHP000181,O001690,Delhivery,2026-08-08T10:24:20.880590,2026-08-13T10:24:20.880590,2026-08-13T10:24:20.880590,DELIVERED
SHP000182,O002678,UPS,2026-08-17T20:43:20.880590,2026-08-23T20:43:20.880590,2026-08-25T20:43:20.880590,DELAYED
SHP000183,O000926,UPS,2026-08-07T22:28:20.880590,2026-08-10T22:28:20.880590,2026-08-12T22:28:20.880590,DELAYED
SHP000184,O003684,DHL,2026-08-26T02:34:20.880590,2026-08-30T02:34:20.880590,2026-09-01T02:34:20.880590,DELIVERED
SHP000185,O002786,Delhivery,2026-08-09T22:47:20.880590,2026-08-13T22:47:20.880590,2026-08-13T22:47:20.880590,DELIVERED
SHP000186,O002118,Delhivery,2026-08-23T19:13:20.880590,2026-08-28T19:13:20.880590,2026-08-28T19:13:20.880590,IN_TRANSIT
SHP000187,O004600,Delhivery,2026-08-17T14:49:20.880590,2026-08-23T14:49:20.880590,2026-08-23T14:49:20.880590,DELAYED
SHP000188,O000445,FedEx,2026-08-18T05:24:20.880590,2026-08-25T05:24:20.880590,2026-08-24T05:24:20.880590,IN_TRANSIT
SHP000189,O000915,BlueDart,2026-08-31T13:54:20.880590,2026-09-04T13:54:20.880590,2026-09-06T13:54:20.880590,DELIVERED
SHP000190,O003088,UPS,2026-08-24T15:25:20.880590,2026-08-30T15:25:20.880590,2026-08-30T15:25:20.880590,DELAYED
SHP000191,O002816,Delhivery,2026-08-12T05:49:20.880590,2026-08-17T05:49:20.880590,2026-08-16T05:49:20.880590,DELIVERED
SHP000192,O002070,Delhivery,2026-08-24T08:03:20.880590,2026-08-30T08:03:20.880590,2026-08-30T08:03:20.880590,DELAYED
SHP000193,O000764,UPS,2026-08-30T07:34:20.880590,2026-08-31T07:34:20.880590,2026-08-31T07:34:20.880590,IN_TRANSIT
SHP000194,O000938,BlueDart,2026-08-09T04:04:20.880590,2026-08-10T04:04:20.880590,2026-08-12T04:04:20.880590,DELIVERED
SHP000195,O002445,DHL,2026-08-25T19:43:20.880590,2026-08-29T19:43:20.880590,2026-08-28T19:43:20.880590,DELIVERED
SHP000196,O004204,Delhivery,2026-08-08T11:22:20.880590,2026-08-09T11:22:20.880590,2026-08-11T11:22:20.880590,DELAYED
SHP000197,O003722,FedEx,2026-08-10T01:03:20.880590,2026-08-14T01:03:20.880590,2026-08-14T01:03:20.880590,DELAYED
